OTU,LogMaxMean,Class,LDA,pValue
OTU279,2.70319,-,,
OTU452,2.51917,-,,
OTU60,3.39975,Disturbed,2.87665,0.044625
OTU4067,2.54574,-,,
OTU1385,2.5733,-,,
OTU140,3.03527,Disturbed,2.40347,0.00748
OTU69,3.13211,-,,
OTU933,2.58703,Natural,2.65299,0.000142299
OTU160,2.77647,-,,
OTU445,2.71541,-,,
OTU40960,2.80654,-,,
OTU10652,2.33175,-,,
OTU4176,2.51421,-,,
OTU36040,2.28621,-,,
OTU52,3.55448,Disturbed,2.89006,0.00540149
OTU31,3.9016,Natural,3.60012,9.12E-09
OTU5,3.92636,-,,
OTU2711,3.51761,Natural,3.20682,0.000106929
OTU2920,3.32507,-,,
OTU40351,2.48178,-,,
OTU2069,2.27007,-,,
OTU3897,2.86899,-,,
OTU456,2.6648,-,,
OTU64,2.99337,-,,
OTU23,3.40218,Natural,2.94705,0.0220935
OTU133,2.79212,-,,
OTU79,3.16141,-,,
OTU1234,2.51084,-,,
OTU14315,2.36846,-,,
OTU2929,2.66827,Natural,2.6171,0.00394381
OTU11,3.87059,Natural,3.30932,0.0209168
OTU98,2.63628,-,,
OTU40,3.04606,Disturbed,2.64543,0.000579061
OTU45564,2.35105,-,,
OTU1198,2.30499,-,,
OTU273,2.59768,-,,
OTU5488,3.17695,-,,
OTU307,2.5942,-,,
OTU1084,2.31892,-,,
OTU3960,2.83784,Natural,2.45698,0.000361333
OTU3463,2.42275,-,,
OTU144,2.77675,-,,
OTU411,2.59818,-,,
OTU35,3.30424,Disturbed,2.90922,2.17E-07
OTU224,2.59805,-,,
OTU423,2.93719,Natural,2.62865,0.0261821
OTU16650,2.60157,-,,
OTU32,3.20853,Natural,2.4609,0.00308024
OTU45142,3.07596,-,,
OTU3,4.1137,-,,
OTU252,2.98609,Natural,2.70687,7.59E-08
OTU254,2.77798,Natural,2.79924,0.000173827
OTU1223,2.64811,-,,
OTU1228,2.8652,-,,
OTU54,3.75796,Natural,3.14196,0.000483227
OTU1525,2.9822,Natural,2.59239,2.08E-09
OTU158,3.48222,Disturbed,3.0068,1.60E-10
OTU1027,2.42278,-,,
OTU30,3.57967,Disturbed,2.71201,0.00173534
OTU1108,2.42568,-,,
OTU1694,2.86098,-,,
OTU5093,3.46458,-,,
OTU4,4.23823,-,,
OTU41,3.64183,Natural,3.32643,1.10E-11
OTU55,3.37041,-,,
OTU24,3.47838,Disturbed,3.32239,6.49E-11
OTU54639,2.63416,-,,
OTU375,2.77838,-,,
OTU26,3.37269,-,,
OTU4060,2.87034,-,,
OTU528,2.67571,-,,
OTU24703,2.65215,-,,
OTU1357,2.5415,-,,
OTU10848,2.14459,-,,
OTU13578,2.28684,-,,
OTU579,2.70346,-,,
OTU141,3.33355,Disturbed,2.87875,0.00108245
OTU4561,2.97275,Disturbed,2.43493,0.0205043
OTU8,3.49478,Natural,2.57379,3.65E-05
OTU34,3.20261,Natural,2.62847,0.0151342
OTU1823,3.09638,Disturbed,2.14692,8.83E-08
OTU3805,2.71192,-,,
OTU119,2.72158,-,,
OTU2089,2.9268,-,,
OTU6,4.1616,Disturbed,3.62104,6.42E-09
OTU1,4.75406,Disturbed,4.53606,6.09E-10
OTU62,3.52912,Natural,3.18347,4.23E-06
OTU1407,2.39008,-,,
OTU14970,2.3329,-,,
OTU43745,2.32974,-,,
OTU43240,2.26345,-,,
OTU4389,2.13614,-,,
OTU655,2.57283,-,,
OTU7824,2.37972,-,,
OTU90,3.01623,-,,
OTU15892,2.33103,-,,
OTU7355,2.18109,-,,
OTU21,3.41256,Natural,2.93187,0.000120625
OTU1264,2.83038,-,,
OTU1619,2.9298,-,,
OTU2011,3.09913,Natural,2.46887,8.88E-05
OTU547,2.43676,-,,
OTU300,2.90663,-,,
OTU42,3.35503,Disturbed,2.96943,3.59E-06
OTU182,2.94206,-,,
OTU7,3.59521,-,,
OTU372,2.51008,-,,
OTU1290,2.15825,-,,
OTU2434,2.87768,-,,
OTU978,2.27835,-,,
OTU53000,2.14056,-,,
OTU5663,2.62117,-,,
OTU319,2.72797,-,,
OTU329,2.92558,-,,
OTU1771,2.95379,Disturbed,2.73714,1.24E-07
OTU9591,2.24385,-,,
OTU82,2.88508,-,,
OTU7202,2.35374,-,,
OTU517,2.81856,-,,
OTU278,2.79943,-,,
OTU49246,2.29249,-,,
OTU608,2.73742,-,,
OTU4354,2.34679,-,,
OTU390,2.90771,Natural,2.70121,0.00038205
OTU264,2.72099,Natural,2.69492,1.21E-07
OTU49976,2.18177,-,,
OTU2329,3.04823,Disturbed,2.08513,2.17E-06
OTU235,2.91939,-,,
OTU505,2.80434,Natural,2.6405,0.00195362
OTU662,2.75007,-,,
OTU95,3.09244,Natural,2.59215,0.00645693
OTU439,2.42231,-,,
OTU381,2.59244,Natural,2.73698,0.000704489
OTU46764,2.38464,-,,
OTU625,2.36359,-,,
OTU2291,2.25242,-,,
OTU476,2.52498,-,,
OTU5859,2.26213,-,,
OTU4154,2.40436,-,,
OTU1142,2.5364,-,,
OTU1389,2.72959,Natural,2.35089,1.33E-05
OTU175,2.96034,Disturbed,2.80472,0.00384512
OTU1518,2.38595,-,,
OTU1099,2.29319,-,,
OTU7276,2.31903,-,,
OTU652,2.20819,-,,
OTU2236,2.50635,-,,
OTU859,2.4401,-,,
OTU213,2.65012,Natural,2.41891,0.000964666
OTU1362,2.09039,-,,
OTU335,2.6751,-,,
OTU1216,2.57276,-,,
OTU113,2.8797,-,,
OTU525,2.52974,-,,
OTU1853,2.08273,-,,
OTU4839,2.54468,-,,
OTU945,2.85069,Natural,2.56939,0.00164383
OTU1227,2.4763,-,,
OTU740,2.64354,-,,
OTU1191,2.38214,-,,
OTU57146,3.07162,Natural,3.09139,0.000124075
OTU104,3.03382,Natural,2.5654,0.00329871
OTU145,2.83621,-,,
OTU586,2.73577,-,,
OTU24837,2.11637,-,,
OTU3995,2.28287,-,,
OTU1675,2.71061,-,,
OTU904,2.90534,Natural,2.4627,0.00123312
OTU80,3.09125,Natural,2.38213,9.62E-05
OTU942,2.64878,-,,
OTU58458,2.04072,-,,
OTU36916,2.26477,-,,
OTU2383,2.40561,-,,
OTU1945,2.6253,Disturbed,2.71354,0.0233749
OTU187,2.44083,-,,
OTU353,2.07466,-,,
OTU75,3.09952,Natural,2.09705,0.0062528
OTU39,3.33974,-,,
OTU1528,2.75244,-,,
OTU81,3.12739,Natural,2.22922,0.0212028
OTU438,2.84626,Natural,2.33252,0.000535209
OTU16688,2.13274,-,,
OTU87,2.5692,-,,
OTU137,2.92153,-,,
OTU172,3.43035,Natural,3.02092,2.57E-08
OTU57,3.24144,Disturbed,2.89739,4.58E-07
OTU22731,2.18056,-,,
OTU714,2.85916,Natural,2.48721,1.31E-05
OTU10,3.80428,-,,
OTU25,3.5234,-,,
OTU20756,3.11633,Natural,2.75088,0.0189683
OTU72,2.59527,-,,
OTU12,3.45438,Disturbed,2.01383,0.0116306
OTU1076,2.79388,Natural,2.52335,0.00199281
OTU4266,2.22251,-,,
OTU9892,3.13373,-,,
OTU124,2.5821,-,,
OTU2206,2.40003,-,,
OTU1064,2.05201,-,,
OTU123,2.98229,Natural,2.58204,5.57E-06
OTU497,2.5856,-,,
OTU3497,2.34761,-,,
OTU4054,2.62679,Natural,2.90571,0.000557947
OTU170,3.03234,Natural,2.55586,0.0154028
OTU3756,2.5693,Disturbed,2.67966,0.00256758
OTU15,3.63485,Natural,3.31873,9.65E-06
OTU4496,2.22831,-,,
OTU14319,2.44616,-,,
OTU3462,2.39266,-,,
OTU102,3.77972,Disturbed,3.34303,3.28E-08
OTU43621,2.46814,-,,
OTU223,2.94822,-,,
OTU1363,2.42768,-,,
OTU2469,2.34174,-,,
OTU228,2.5502,-,,
OTU231,2.77526,-,,
OTU1679,2.35344,-,,
OTU826,2.12201,-,,
OTU263,2.82484,-,,
OTU961,2.39332,-,,
OTU171,2.84265,-,,
OTU105,3.08583,Natural,2.52582,0.00131786
OTU126,3.03142,-,,
OTU44,3.27458,-,,
OTU1102,2.4531,-,,
OTU1340,2.15711,-,,
OTU148,2.7156,Natural,2.72048,0.000608504
OTU409,2.28853,-,,
OTU11989,2.70998,-,,
OTU208,2.74347,-,,
OTU726,2.30324,-,,
OTU9074,3.12729,Natural,2.85792,1.63E-09
OTU8184,2.25662,-,,
OTU154,2.81552,-,,
OTU921,2.20489,-,,
OTU373,2.48089,-,,
OTU44621,2.26377,-,,
OTU408,2.28243,-,,
OTU6811,2.46972,-,,
OTU899,2.29092,-,,
OTU1676,2.13927,-,,
OTU9137,2.61539,-,,
OTU13,3.76905,Disturbed,3.54336,0.00334027
OTU4504,2.53593,-,,
OTU66,3.56883,-,,
OTU422,2.47183,-,,
OTU248,3.07823,-,,
OTU1260,2.16377,-,,
OTU6518,3.09498,Disturbed,2.93304,1.11E-16
OTU1514,2.36825,-,,
OTU183,3.28534,Natural,2.74235,4.87E-06
OTU2273,2.32065,-,,
OTU9788,2.66464,-,,
OTU815,2.72361,Natural,2.4553,1.25E-06
OTU918,2.52046,-,,
OTU74,2.99895,-,,
OTU12086,2.02025,-,,
OTU1873,3.82572,Disturbed,3.56208,3.24E-12
OTU1781,3.67921,-,,
OTU1554,2.12486,-,,
OTU400,2.09946,-,,
OTU6421,2.77728,-,,
OTU25065,2.82287,Natural,2.77243,0.00372294
OTU420,2.79866,Natural,2.77365,3.44E-06
OTU529,2.65251,-,,
OTU155,2.74781,-,,
OTU396,2.65005,Natural,2.75505,8.69E-05
OTU2254,2.49084,-,,
OTU22151,2.30649,-,,
OTU8835,2.78537,Natural,2.6375,8.89E-09
OTU1026,2.46973,-,,
OTU135,2.89666,Natural,2.5612,1.85E-05
OTU35189,2.38681,-,,
OTU32526,2.89316,-,,
OTU2637,3.11186,Disturbed,2.96181,2.45E-12
OTU212,2.95624,-,,
OTU1218,2.17676,-,,
OTU2047,2.92139,Disturbed,2.69542,0.00272784
OTU3709,2.21677,-,,
OTU2852,2.45641,-,,
OTU22787,2.49026,-,,
OTU19,3.36541,Natural,2.80158,0.00094933
OTU9,3.67563,-,,
OTU143,2.8057,-,,
OTU642,2.30667,-,,
OTU2656,2.139,-,,
OTU14989,3.31824,Natural,2.87666,6.96E-05
OTU162,2.80625,Natural,2.8149,0.000648452
OTU5253,2.61926,-,,
OTU2609,2.53475,-,,
OTU657,2.3224,-,,
OTU22,3.46409,Natural,3.37979,0.000420946
OTU46,3.24539,-,,
OTU38,3.44442,Disturbed,2.72997,0.00422019
OTU15458,2.12351,-,,
OTU3207,2.35122,-,,
OTU23666,2.25247,-,,
OTU941,2.26178,-,,
OTU1240,2.18392,-,,
OTU643,2.53595,-,,
OTU132,2.82292,-,,
OTU940,2.49543,-,,
OTU54188,3.34163,-,,
OTU174,2.70225,-,,
OTU550,2.23306,-,,
OTU13358,2.84053,-,,
OTU1013,2.40739,-,,
OTU166,3.14538,Natural,2.79254,0.00037234
OTU779,2.50746,-,,
OTU793,2.3594,-,,
OTU118,2.8941,Natural,2.61942,1.91E-06
OTU665,2.21535,-,,
OTU761,2.43455,-,,
OTU54802,2.66581,-,,
OTU926,2.43163,-,,
OTU48,3.41788,-,,
OTU359,2.79379,Natural,2.30416,0.00327361
OTU7229,2.64928,-,,
OTU2181,2.16436,-,,
OTU498,2.46931,-,,
OTU86,2.8638,-,,
OTU606,2.9625,Natural,2.80746,0.000132139
OTU25722,2.24983,-,,
OTU197,3.03261,Natural,2.71349,2.81E-05
OTU8619,2.47016,-,,
OTU7938,2.85913,Natural,2.76129,0.00282358
OTU1567,2.24514,-,,
OTU306,2.8824,-,,
OTU21242,2.12732,-,,
OTU59,3.20643,Natural,2.76023,0.0186265
OTU107,2.72953,Natural,2.461,0.00146299
OTU222,2.9138,Natural,2.6871,0.000283376
OTU659,2.62665,Natural,2.64762,5.46E-07
OTU305,2.80267,-,,
OTU199,2.9675,Natural,2.35322,0.00109381
OTU334,2.83224,-,,
OTU1086,2.60728,-,,
OTU509,2.57442,-,,
OTU896,2.30229,-,,
OTU840,2.5151,-,,
OTU249,2.32189,-,,
OTU1141,2.53978,-,,
OTU4956,3.55775,Disturbed,3.31186,2.22E-15
OTU405,2.29411,-,,
OTU88,3.29275,Natural,2.5038,0.0057249
OTU853,2.44438,-,,
OTU28841,2.2202,-,,
OTU103,3.32371,-,,
OTU191,2.93186,-,,
OTU185,2.73054,Natural,2.87138,0.000497182
OTU376,2.46077,-,,
OTU6538,2.22213,-,,
OTU436,2.91774,-,,
OTU5349,2.48801,-,,
OTU1786,3.12515,-,,
OTU348,2.27848,-,,
OTU654,2.05584,-,,
OTU7186,2.60486,-,,
OTU91,3.09513,-,,
OTU138,2.98902,-,,
OTU402,2.69126,-,,
OTU6865,2.43058,-,,
OTU230,2.95633,Natural,2.66075,0.00138488
OTU1325,2.24491,-,,
OTU20,3.52984,Disturbed,3.26227,1.07E-11
OTU40093,2.15616,-,,
OTU1060,2.49892,-,,
OTU1309,2.17746,-,,
OTU1568,2.65874,-,,
OTU283,2.49029,-,,
OTU203,2.73698,Natural,2.66063,0.017453
OTU1928,2.2645,-,,
OTU23597,2.28426,-,,
OTU5838,2.20671,-,,
OTU674,2.74166,-,,
OTU31773,2.6629,-,,
OTU10049,2.76359,-,,
OTU106,3.11704,-,,
OTU1441,2.48861,-,,
OTU6013,2.2285,-,,
OTU297,2.85995,-,,
OTU500,2.4182,-,,
OTU29050,2.13872,-,,
OTU85,2.85717,-,,
OTU2230,2.46493,-,,
OTU192,2.86439,-,,
OTU4570,2.69983,-,,
OTU564,2.10175,-,,
OTU44745,2.14738,-,,
OTU99,3.14707,Natural,2.67727,7.58E-06
OTU10012,2.67615,-,,
OTU200,2.82339,Natural,2.40011,0.0137665
OTU28,3.23838,Natural,2.47312,0.00652416
OTU499,2.64152,Natural,2.81989,0.00107212
OTU433,2.68016,-,,
OTU2352,2.05317,-,,
OTU9296,2.89977,-,,
OTU1143,2.14879,-,,
OTU898,2.17209,-,,
OTU4299,2.36786,-,,
OTU816,2.47387,-,,
OTU46556,2.86389,-,,
OTU7852,3.06441,-,,
OTU14925,2.39562,-,,
OTU1512,2.69776,Natural,2.35528,5.88E-06
OTU3847,2.1882,-,,
OTU2207,2.2643,-,,
OTU559,2.47349,-,,
OTU1985,2.60435,-,,
OTU11050,2.99302,-,,
OTU1179,2.24667,-,,
OTU391,2.83309,Natural,2.82207,5.16E-06
OTU397,2.19007,-,,
OTU441,2.94058,Disturbed,2.67159,0.000165901
OTU2477,2.58115,-,,
OTU553,2.52881,-,,
OTU404,2.32066,-,,
OTU1420,2.45772,-,,
OTU225,2.83771,-,,
OTU100,2.61259,-,,
OTU28441,3.13851,-,,
OTU64145,2.48657,-,,
OTU12554,2.13988,-,,
OTU43,3.00521,Natural,2.69905,0.000113228
OTU545,2.3129,-,,
OTU858,3.118,Natural,2.68888,3.70E-07
OTU2074,2.62882,-,,
OTU21605,2.26467,-,,
OTU10748,2.29191,-,,
OTU431,2.3049,-,,
OTU5061,2.23418,-,,
OTU28905,2.14565,-,,
OTU412,2.70928,-,,
OTU31767,3.00893,Natural,2.66495,8.88E-07
OTU12754,2.43586,-,,
OTU521,2.69901,-,,
OTU3188,2.24252,-,,
OTU40756,2.47787,-,,
OTU7681,2.08364,-,,
OTU16419,2.56084,-,,
OTU5360,2.48298,-,,
OTU1243,2.15491,-,,
OTU4046,2.5148,-,,
OTU4951,2.9731,Natural,2.63388,1.22E-05
OTU24225,2.30543,-,,
OTU854,2.75713,-,,
OTU270,2.61616,-,,
OTU387,3.01535,-,,
OTU25415,2.32817,-,,
OTU180,2.66134,-,,
OTU5175,2.68589,-,,
OTU597,2.159,-,,
OTU129,3.05314,Natural,2.8611,0.000979869
OTU897,2.50541,-,,
OTU706,2.22578,-,,
OTU54883,2.08115,-,,
OTU5682,2.20359,-,,
OTU289,2.76133,-,,
OTU16618,3.40833,-,,
OTU1128,2.20783,-,,
OTU12897,2.25197,-,,
OTU73,2.77111,-,,
OTU900,2.55747,-,,
OTU281,2.45617,-,,
OTU10900,2.74874,-,,
OTU239,2.70583,-,,
OTU150,2.84762,-,,
OTU2320,2.27505,-,,
OTU1001,2.35738,-,,
OTU14004,2.13461,-,,
OTU5094,2.23703,-,,
OTU14389,2.27989,-,,
OTU386,2.43623,-,,
OTU26577,2.36037,-,,
OTU703,2.50831,-,,
OTU22544,2.08552,-,,
OTU195,2.85667,Natural,2.55194,2.33E-06
OTU392,2.59057,-,,
OTU522,2.34093,-,,
OTU3782,2.58134,-,,
OTU125,2.89994,-,,
OTU882,2.55933,-,,
OTU7483,2.47607,-,,
OTU32661,2.04929,-,,
OTU2171,2.55614,-,,
OTU989,2.25389,-,,
OTU46573,2.42093,-,,
OTU4712,2.69858,-,,
OTU10030,2.92614,-,,
OTU667,2.61846,-,,
OTU357,2.6422,-,,
OTU1263,2.61898,-,,
OTU22439,2.26387,-,,
OTU1007,2.1333,-,,
OTU777,2.44444,-,,
OTU128,2.81788,Natural,2.53599,3.84E-06
OTU241,2.37003,-,,
OTU1785,2.15668,-,,
OTU1569,2.17784,-,,
OTU2635,2.11956,-,,
OTU201,2.90362,-,,
OTU350,2.55369,-,,
OTU46118,2.63735,Natural,2.22616,0.000873788
OTU536,2.23126,-,,
OTU111,2.99005,-,,
OTU163,2.96271,Natural,2.71122,4.93E-05
OTU12455,2.26636,-,,
OTU631,2.33063,-,,
OTU26676,2.29296,-,,
OTU23070,2.2884,-,,
OTU28914,2.61468,-,,
OTU1295,2.6568,-,,
