OTU,LogMaxMean,Class,LDA,pValue
OTU7344,2.52794,-,,
OTU131,3.16969,-,,
OTU673,2.14888,-,,
OTU755,2.50919,-,,
OTU951,2.49147,-,,
OTU41895,2.22042,-,,
OTU7370,2.12828,-,,
OTU630,2.83663,-,,
OTU12424,2.66697,-,,
OTU3542,2.32314,-,,
OTU1014,2.36765,-,,
OTU61,3.21919,-,,
OTU1011,2.53983,-,,
OTU36093,2.44238,-,,
OTU1110,2.56669,-,,
OTU3650,2.4291,-,,
OTU843,2.17625,-,,
OTU1239,2.27293,-,,
OTU7670,2.7153,-,,
OTU56268,2.42644,-,,
OTU21580,2.32882,-,,
OTU89,2.85081,Natural,2.77115,0.00335565
OTU1071,2.22418,-,,
OTU10921,2.55491,-,,
OTU10796,2.2551,-,,
OTU33434,2.04821,-,,
OTU13293,2.17023,-,,
OTU20671,2.34669,-,,
OTU368,2.39966,-,,
OTU298,3.09347,-,,
OTU2827,2.15378,-,,
OTU418,2.38881,-,,
OTU393,2.41355,-,,
OTU3271,2.41878,-,,
OTU2,4.6189,Disturbed,4.544,0.00393984
OTU63992,2.41953,-,,
OTU382,2.72278,-,,
OTU778,2.38083,-,,
OTU14045,2.10735,-,,
OTU919,2.07138,-,,
OTU21806,2.51793,-,,
OTU1485,2.34321,-,,
OTU1522,2.30538,-,,
OTU312,2.65035,-,,
OTU292,2.63989,-,,
OTU47636,2.16944,-,,
OTU7849,2.16126,-,,
OTU57359,2.31851,-,,
OTU901,2.36396,-,,
OTU22297,2.15944,-,,
OTU1039,2.26802,-,,
OTU10728,2.58223,-,,
OTU4733,2.34238,-,,
OTU253,2.52013,-,,
OTU42471,2.31883,-,,
OTU3161,2.35918,-,,
OTU1035,2.33276,-,,
OTU7533,2.0248,-,,
OTU908,2.21824,-,,
OTU60938,2.28646,-,,
OTU5615,2.17047,-,,
OTU2855,2.58612,-,,
OTU35057,2.31217,-,,
OTU4542,2.41489,-,,
OTU3973,2.58547,-,,
OTU713,2.48415,-,,
OTU1571,2.24527,-,,
OTU10761,2.55921,-,,
OTU4673,2.1138,-,,
OTU12543,2.41741,-,,
OTU53799,2.35689,-,,
OTU890,2.30691,-,,
OTU56649,2.16049,-,,
OTU1124,2.29906,-,,
OTU2046,2.30215,-,,
OTU417,2.93404,-,,
OTU8400,2.46952,-,,
OTU51,3.39891,-,,
OTU64288,2.36202,-,,
OTU838,2.29884,-,,
OTU30927,2.69299,-,,
OTU56567,2.36431,-,,
OTU2871,2.38708,-,,
OTU13232,2.46578,-,,
OTU474,3.06785,-,,
OTU752,2.16489,-,,
OTU7184,2.63962,-,,
OTU1322,2.43625,-,,
OTU146,2.89627,Natural,2.49479,1.76E-05
OTU18070,2.19503,-,,
OTU1032,2.16347,-,,
OTU4667,2.49179,-,,
OTU1230,2.10943,-,,
OTU45615,2.08391,-,,
OTU13179,2.28527,-,,
OTU35129,2.38969,-,,
OTU9635,2.35185,-,,
OTU4483,2.54112,Natural,2.66315,1.73E-06
OTU602,2.58702,-,,
OTU520,2.69717,-,,
OTU1259,2.22844,-,,
OTU11210,2.22808,-,,
OTU8002,2.30906,-,,
OTU346,2.40046,-,,
OTU893,2.1571,-,,
OTU5751,2.53917,-,,
OTU4686,2.33807,-,,
OTU403,2.62412,-,,
OTU18074,2.91813,-,,
OTU407,2.34103,-,,
OTU462,2.41073,-,,
OTU1185,2.33613,-,,
OTU1354,2.25066,-,,
OTU3915,2.11773,-,,
OTU8078,2.30737,-,,
OTU8401,2.39903,-,,
OTU24145,2.25787,-,,
OTU47796,2.44774,-,,
OTU149,2.68466,-,,
OTU1364,2.52716,-,,
OTU653,2.19672,-,,
OTU1051,2.07319,-,,
OTU542,2.63063,-,,
OTU19632,2.12292,-,,
OTU1059,2.06209,-,,
OTU468,2.31031,-,,
OTU4490,2.16931,-,,
OTU3984,2.18949,-,,
OTU56094,2.31851,-,,
OTU731,2.50843,-,,
OTU950,2.17457,-,,
OTU60490,2.3352,-,,
OTU739,2.19326,-,,
OTU55657,2.40768,-,,
OTU953,2.20255,-,,
OTU33332,2.33795,-,,
OTU491,2.73056,-,,
OTU13425,2.14954,-,,
OTU1276,2.47304,-,,
OTU41119,2.29681,-,,
OTU44218,2.24684,-,,
OTU56924,2.13407,-,,
OTU23487,2.2082,-,,
OTU585,2.49428,-,,
OTU1348,2.66038,-,,
OTU8450,2.56168,-,,
OTU568,2.26276,-,,
OTU9859,2.24671,-,,
OTU40814,2.36715,-,,
OTU917,2.39067,-,,
OTU1426,2.61593,-,,
OTU11432,2.17428,-,,
OTU1049,2.12334,-,,
OTU30891,2.06574,-,,
OTU769,2.17509,-,,
OTU48123,2.9375,-,,
OTU26820,2.36382,-,,
OTU3246,2.50148,-,,
OTU807,2.46022,-,,
OTU1434,2.34077,-,,
OTU46671,2.47893,-,,
OTU9672,2.19404,-,,
OTU227,2.38356,-,,
OTU1335,2.30777,-,,
OTU57300,2.55748,Natural,2.71037,2.80E-05
OTU37091,2.37017,-,,
OTU8920,2.65778,-,,
OTU3421,2.11,-,,
OTU1806,2.58684,-,,
OTU723,2.2502,-,,
OTU3903,2.36796,-,,
OTU324,2.24323,-,,
OTU3638,2.19582,-,,
OTU47361,2.25946,-,,
OTU2614,2.1899,-,,
OTU31365,2.77324,-,,
OTU7089,2.21004,-,,
OTU317,2.13057,-,,
OTU4040,2.18933,-,,
OTU847,2.52436,-,,
OTU7023,2.21533,-,,
OTU8941,2.06126,-,,
OTU7776,2.18744,-,,
OTU4826,2.17844,-,,
OTU442,2.13261,-,,
OTU443,2.42716,-,,
OTU156,3.07774,-,,
OTU745,2.14919,-,,
OTU40554,2.21802,-,,
OTU488,2.72022,-,,
OTU52745,2.29854,-,,
OTU332,2.82555,Natural,2.72668,1.25E-06
OTU28951,2.44535,-,,
OTU39877,2.18469,-,,
OTU14862,2.14839,-,,
OTU546,2.61259,-,,
OTU865,2.28502,-,,
OTU3648,2.17498,-,,
OTU1308,2.22476,-,,
OTU1271,2.67285,-,,
OTU355,2.24515,-,,
OTU47461,2.12792,-,,
OTU570,2.54336,-,,
OTU27924,2.2233,-,,
OTU343,2.16897,-,,
OTU259,2.57336,-,,
OTU55376,2.7528,-,,
OTU1002,2.40075,-,,
OTU1306,2.09158,-,,
OTU94,3.35365,Disturbed,3.08405,2.90E-11
OTU975,2.1648,-,,
OTU11805,2.1524,-,,
OTU4105,2.49624,-,,
OTU58033,2.4902,-,,
OTU18659,2.22248,-,,
OTU379,2.62827,-,,
OTU930,2.12593,-,,
OTU4096,2.71418,-,,
OTU28804,2.25699,-,,
OTU14102,2.14916,-,,
OTU712,2.22456,-,,
OTU157,2.1343,-,,
OTU60488,2.25879,-,,
OTU36758,2.35643,-,,
OTU894,2.19119,-,,
OTU401,2.30701,-,,
OTU26630,2.4415,-,,
OTU628,2.31765,-,,
OTU548,2.39571,-,,
OTU434,2.13188,-,,
OTU2895,2.18962,-,,
OTU214,2.47302,-,,
OTU190,2.5943,-,,
OTU2161,2.74348,-,,
OTU638,2.27504,-,,
OTU3359,2.13442,-,,
OTU184,2.27153,-,,
OTU7484,2.21243,-,,
OTU12612,2.7095,-,,
OTU57428,2.56079,-,,
OTU12434,2.59641,-,,
OTU45531,2.48754,-,,
OTU4196,2.43741,-,,
OTU54172,2.22497,-,,
OTU887,2.16597,-,,
OTU15399,2.43612,-,,
OTU57435,2.10302,-,,
OTU511,2.09051,-,,
OTU2080,3.18353,-,,
OTU2402,2.18142,-,,
OTU23585,2.11523,-,,
OTU1433,2.21003,-,,
OTU8340,2.47245,-,,
OTU250,2.37713,-,,
OTU7227,2.20971,-,,
OTU21928,2.37574,-,,
OTU9918,2.02356,-,,
OTU84,2.0985,-,,
OTU985,2.25304,-,,
OTU763,2.32144,-,,
OTU37667,2.61546,-,,
OTU14229,2.3684,-,,
OTU215,3.0803,-,,
OTU591,2.22526,-,,
OTU53797,2.23826,-,,
OTU1125,2.22766,-,,
OTU524,2.19501,-,,
OTU3623,2.20326,-,,
OTU25877,2.46455,-,,
OTU330,2.56884,-,,
OTU1342,2.39342,-,,
OTU12831,2.7988,-,,
OTU2540,2.44627,-,,
OTU2372,2.08535,-,,
OTU2202,2.73216,-,,
OTU601,2.41519,-,,
OTU9332,2.57398,-,,
OTU20467,2.17595,-,,
OTU3493,2.72766,-,,
OTU153,2.14639,-,,
OTU2082,2.47634,-,,
OTU3590,2.1708,-,,
OTU55696,2.13215,-,,
OTU28159,2.1795,-,,
OTU5364,2.50325,-,,
OTU515,2.31692,-,,
OTU32599,2.24474,-,,
OTU3642,2.10956,-,,
OTU1113,2.27576,-,,
OTU244,2.28302,-,,
OTU1236,2.0819,-,,
OTU875,2.70635,-,,
OTU3641,2.08914,-,,
OTU453,2.6358,-,,
OTU1206,2.42043,-,,
OTU8484,2.14818,-,,
OTU1258,2.17277,-,,
OTU440,2.05577,-,,
OTU38166,2.17058,-,,
OTU6992,2.66482,-,,
OTU688,2.07496,-,,
OTU51159,2.33148,-,,
OTU277,2.56412,-,,
OTU799,2.44691,-,,
OTU7418,2.28499,-,,
OTU33460,2.1391,-,,
OTU8328,2.37152,-,,
OTU291,2.68356,-,,
OTU261,2.72756,-,,
OTU1280,2.30586,-,,
OTU8285,2.12742,-,,
OTU1057,2.18689,-,,
OTU864,2.21629,-,,
OTU1103,2.31015,-,,
OTU112,2.66071,-,,
OTU1021,2.50994,-,,
OTU206,2.7798,-,,
OTU867,2.25033,-,,
OTU28709,2.08323,-,,
OTU1065,2.44361,-,,
OTU42081,2.31506,-,,
OTU15974,2.26397,-,,
OTU54619,2.39523,-,,
OTU421,2.50325,-,,
OTU1266,2.43608,-,,
OTU839,2.27713,-,,
OTU7828,2.27338,-,,
OTU507,2.32937,-,,
OTU14551,2.20394,-,,
OTU1310,2.42897,-,,
OTU62576,2.47945,-,,
OTU1267,2.24681,-,,
OTU49708,2.27849,-,,
OTU976,2.28849,-,,
OTU35523,2.43448,-,,
OTU349,2.33659,-,,
OTU8519,2.20031,-,,
OTU45430,2.11975,-,,
OTU4468,2.29977,-,,
OTU38224,2.13742,-,,
OTU567,2.32473,-,,
OTU14825,2.36151,-,,
OTU13661,2.29729,-,,
OTU10877,3.29544,-,,
OTU1189,2.10457,-,,
OTU21328,2.14741,-,,
OTU430,2.35147,-,,
OTU2030,3.75405,-,,
OTU10236,2.21199,-,,
OTU48635,2.3854,-,,
OTU1916,2.2039,-,,
OTU1398,2.24826,-,,
OTU6414,2.23018,-,,
OTU1089,2.39186,-,,
OTU11858,2.2491,-,,
OTU684,2.37297,-,,
OTU596,2.47711,-,,
OTU31645,2.33479,-,,
OTU812,2.40949,-,,
OTU26763,2.47174,-,,
OTU715,2.46798,-,,
OTU869,2.60273,-,,
OTU10107,2.61102,-,,
OTU595,2.45699,-,,
OTU8981,2.06164,-,,
OTU23906,2.32595,-,,
OTU5051,2.33822,-,,
OTU6797,2.1598,-,,
OTU925,2.34583,-,,
OTU1195,2.2148,-,,
OTU797,2.32544,-,,
OTU27,3.532,-,,
OTU759,2.1757,-,,
OTU16,3.75647,-,,
OTU256,2.24719,-,,
OTU11852,2.29886,-,,
OTU825,2.27154,-,,
OTU13484,2.14331,-,,
OTU14291,2.33742,-,,
OTU15819,2.27982,-,,
OTU1341,2.07386,-,,
OTU27868,2.29386,-,,
OTU1063,2.24192,-,,
OTU34790,2.21943,-,,
OTU58763,2.38525,-,,
OTU29703,2.15392,-,,
OTU709,2.15839,-,,
OTU50131,2.38731,-,,
OTU1381,2.44327,-,,
OTU1559,2.22901,-,,
OTU1326,2.37259,-,,
OTU1636,3.14483,-,,
OTU169,2.98179,-,,
OTU14132,2.18234,-,,
OTU1204,2.12032,-,,
OTU282,2.3784,-,,
OTU2130,2.11407,-,,
OTU46462,2.26684,-,,
OTU885,2.10199,-,,
OTU61138,2.26969,-,,
OTU9022,2.23123,-,,
OTU835,2.3369,-,,
OTU347,3.05918,-,,
OTU2747,2.77721,-,,
OTU2382,2.44242,-,,
OTU588,2.44974,-,,
OTU8611,2.34999,-,,
OTU766,2.22346,-,,
OTU708,2.134,-,,
OTU851,2.09978,-,,
OTU17,3.78996,Disturbed,3.55686,1.07E-13
OTU58,3.41327,-,,
OTU2079,2.34499,-,,
OTU6470,2.75575,-,,
OTU2448,2.74943,-,,
OTU10485,2.21954,-,,
OTU1041,2.59135,-,,
OTU1167,2.2514,-,,
OTU42172,2.54526,-,,
OTU3748,2.18838,-,,
OTU1674,2.21327,-,,
OTU666,2.24682,-,,
OTU44160,2.15484,-,,
OTU485,2.48558,-,,
OTU1764,2.84686,-,,
OTU4470,2.63649,-,,
OTU247,2.24503,-,,
OTU9113,2.26327,-,,
OTU834,2.0961,-,,
OTU58401,2.3037,-,,
OTU1578,2.27896,-,,
OTU2872,3.27266,-,,
OTU12462,2.60835,-,,
OTU10867,2.74128,-,,
OTU1852,2.65138,-,,
OTU2829,3.1866,-,,
OTU56,3.06929,-,,
OTU7003,3.11927,-,,
OTU1988,2.96885,-,,
OTU10837,3.07054,-,,
OTU12299,3.06059,-,,
OTU753,2.26152,-,,
OTU12533,2.44322,-,,
OTU10917,2.62606,-,,
OTU831,2.16483,-,,
OTU34983,2.671,-,,
OTU6919,2.48568,-,,
OTU12742,2.98813,-,,
OTU629,2.48748,-,,
OTU12517,2.85423,-,,
OTU38010,2.11181,-,,
OTU44123,2.09768,-,,
OTU2215,2.83478,-,,
OTU2825,2.19083,-,,
OTU819,2.46443,-,,
OTU6920,2.52383,-,,
OTU233,2.52555,-,,
OTU428,2.44986,-,,
OTU862,2.12432,-,,
OTU204,2.41897,-,,
OTU685,2.42129,-,,
OTU21666,2.33292,-,,
OTU9411,2.0753,-,,
OTU4075,2.46204,-,,
OTU399,2.19432,-,,
OTU26482,2.02669,-,,
OTU3700,2.258,-,,
OTU1620,2.47,-,,
OTU19031,2.21347,-,,
OTU469,2.34942,-,,
OTU2923,2.49133,-,,
OTU1006,2.24518,-,,
OTU4103,2.42615,-,,
OTU1070,2.18234,-,,
OTU1121,2.07257,-,,
OTU2410,2.60026,-,,
OTU2473,2.4947,-,,
OTU5853,2.72918,-,,
OTU2204,2.59525,-,,
OTU152,3.07556,-,,
OTU3967,2.60728,-,,
OTU1556,2.43187,-,,
OTU2043,2.97415,-,,
OTU6871,2.07463,-,,
OTU4212,2.51854,-,,
OTU2891,2.47235,-,,
OTU4262,2.47505,-,,
OTU6446,2.4364,-,,
OTU2778,2.66649,-,,
OTU2417,2.37444,-,,
OTU6642,2.47541,-,,
OTU2333,2.58094,-,,
OTU2803,2.64111,-,,
OTU12739,2.74613,-,,
OTU1914,2.48007,-,,
OTU1249,2.54852,-,,
OTU83,3.34626,Disturbed,3.15898,4.42E-14
OTU3719,2.47847,-,,
OTU389,2.61559,-,,
OTU2700,2.47888,-,,
OTU93,3.06267,-,,
OTU2342,2.40366,-,,
OTU1661,2.89999,-,,
OTU6529,2.89434,-,,
OTU997,2.43856,-,,
OTU2065,2.47878,-,,
OTU983,2.43914,-,,
OTU4342,2.46894,-,,
OTU242,2.71763,-,,
OTU10750,2.56949,-,,
OTU63,2.77758,-,,
OTU1920,2.41852,-,,
OTU2168,2.36399,-,,
OTU426,2.65051,-,,
OTU5390,2.62108,-,,
OTU358,2.57957,-,,
OTU6277,2.61144,-,,
OTU196,2.57638,-,,
OTU3218,2.44853,-,,
OTU70,3.52585,-,,
OTU398,2.35245,-,,
OTU583,2.34012,-,,
OTU4208,2.39528,-,,
OTU35122,2.05294,-,,
OTU863,2.3942,-,,
OTU1292,2.38551,-,,
OTU7534,2.11932,-,,
OTU6492,2.87147,-,,
OTU7169,2.59685,-,,
OTU21669,2.26152,-,,
OTU3965,2.58401,-,,
OTU2209,2.95043,-,,
OTU26771,2.21178,-,,
OTU1019,2.05766,-,,
OTU9932,2.17413,-,,
OTU450,2.25435,-,,
OTU1061,2.06449,-,,
OTU747,2.26854,-,,
OTU651,2.24488,-,,
OTU17129,2.19723,-,,
OTU518,2.1061,-,,
OTU1015,2.19574,-,,
OTU871,2.51534,-,,
OTU1056,2.03449,-,,
OTU738,2.02149,-,,
OTU7862,2.05255,-,,
OTU336,2.58893,-,,
OTU878,2.11502,-,,
OTU30518,2.23144,-,,
OTU395,2.45689,-,,
OTU6168,2.13929,-,,
OTU4568,2.20283,-,,
OTU7969,2.14847,-,,
OTU193,2.62164,-,,
OTU29074,2.26786,-,,
OTU4678,2.25535,-,,
OTU1486,2.16516,-,,
OTU774,2.28058,-,,
OTU760,2.23318,-,,
OTU10325,2.28166,-,,
OTU7721,2.10086,-,,
OTU57083,2.55185,-,,
OTU7638,2.14094,-,,
OTU681,2.22616,-,,
OTU902,2.4011,-,,
OTU2166,2.44897,-,,
OTU299,2.80162,-,,
OTU5103,2.19482,-,,
OTU2284,2.46687,-,,
OTU59331,2.17223,-,,
OTU1488,2.15485,-,,
OTU619,2.60781,-,,
OTU6706,2.26319,-,,
OTU2587,2.09463,-,,
OTU27025,2.00901,-,,
OTU1754,2.26358,-,,
OTU4945,2.28747,-,,
OTU3296,2.54104,-,,
OTU4535,2.70736,-,,
OTU20786,2.13921,-,,
OTU2858,2.29239,-,,
OTU1373,2.20963,-,,
OTU406,2.40936,-,,
OTU1378,2.44192,-,,
OTU1238,2.47499,-,,
OTU495,2.15301,-,,
OTU471,2.0784,-,,
OTU1042,2.32777,-,,
OTU62169,2.10312,-,,
OTU52405,2.54452,-,,
OTU8581,2.23141,-,,
OTU416,2.65754,-,,
OTU8380,2.32449,-,,
OTU8760,2.17912,-,,
OTU1178,2.2621,-,,
OTU20540,2.28788,-,,
OTU13241,2.21087,-,,
OTU11131,2.17948,-,,
OTU9755,2.2169,-,,
OTU53897,2.19501,-,,
OTU27241,2.23067,-,,
OTU531,2.38066,-,,
OTU704,2.49572,-,,
OTU448,2.36697,-,,
OTU702,2.15888,-,,
OTU58799,2.25653,-,,
OTU13481,2.14003,-,,
OTU229,2.90239,-,,
OTU5580,2.10817,-,,
OTU333,2.4193,-,,
OTU33293,2.21769,-,,
OTU1288,2.76207,-,,
OTU923,2.56866,-,,
OTU7254,2.47302,-,,
OTU6389,2.47869,-,,
OTU501,2.72771,-,,
OTU1345,2.75485,-,,
OTU2759,2.64574,-,,
OTU483,2.48626,-,,
OTU1752,2.53237,-,,
OTURare1,5.58914,Natural,4.76872,1.98E-06